NO,Epic,Feature,Process (%),Type,Issue No.,List issue,Issue description,Depends on,Assignee,Related,Status,EST ( days ),Actual time(days),Start date,End date,PR
34,Module: Order & Cart,Client,0%,Task,IS-34,Logic Giỏ Hàng - Backend,"Cập nhật số lượng vào session, xóa item khỏi giỏ, tính toán Subtotal",IS-33,Dev3,,Todo,0.5,,,,
35,Module: Order & Cart,Client,0%,Task,IS-35,UI Trang Thanh Toán,"Form thông tin người mua, checkbox 'Giao người khác' để hiện form người nhận",IS-32,Dev3,,Todo,0.5,,,,
36,Module: Order & Cart,Client,0%,Task,IS-36,UI Khung Giờ Giao Hoa,"Tích hợp thẻ dropdown chọn thời gian (Giao hỏa tốc, Sáng, Chiều) và Datepicker",IS-35,Dev3,,Todo,0.5,,,,
37,Module: Order & Cart,Client,0%,Task,IS-37,Logic Mã Giảm Giá,"API check mã nhập vào hợp lệ không, so hạn sử dụng, tính tiền giảm trừ vào tổng và lưu session",IS-34,Dev3,,Todo,1,,,,
38,Module: Order & Cart,Client,0%,Task,IS-38,Xử lý Đặt Hàng (Checkout),"Validate form, Insert dữ liệu vào bảng orders, order_items kèm thông điệp thiệp và giờ giao",IS-37,Dev3,,Todo,1,,,,
39,Module: Order & Cart,Client,0%,Task,IS-39,Xử lý Tồn kho & Hoàn tất,"Trừ số lượng tồn kho bảng products, clear giỏ hàng, hiển thị trang Đặt hàng thành công",IS-38,Dev3,,Todo,0.5,,,,
40,Module: Order & Cart,Admin,0%,Task,IS-40,UI Quản lý Đơn Hàng (Admin),"Bảng ds đơn hàng, các badge màu (Đang xử lý, Hoàn thành), bộ lọc đơn mới",IS-07,Dev3,,Todo,0.5,,,,
41,Module: Order & Cart,Admin,0%,Task,IS-41,UI Chi tiết Đơn Hàng (Admin),"Trang xem thông tin người giao/nhận, danh sách SP đã mua, thiệp đính kèm",IS-40,Dev3,,Todo,0.5,,,,
42,Module: Order & Cart,Admin,0%,Task,IS-42,Logic Cập nhật Trạng thái Đơn,"Dropdown đổi trạng thái: Chờ xác nhận -> Đang cắm -> Đang giao -> Hoàn thành -> Hủy",IS-41,Dev3,,Todo,0.5,,,,
43,Module: Order & Cart,Admin,0%,Task,IS-43,UI & Logic Quản lý Mã giảm giá,"Bảng ds coupon, form tạo mã mới (nhập code, % giảm, max tiền giảm, hạn dùng)",IS-40,Dev3,,Todo,0.5,,,,
44,Module: Reviews,Client,0%,Task,IS-44,UI Form Viết Đánh giá,"Giao diện chọn số sao (rating), form comment tích hợp ở cuối trang Chi tiết SP",IS-30,Dev1,,Todo,0.5,,,,
45,Module: Reviews,Client,0%,Task,IS-45,Logic Xử lý Đánh giá,"Kiểm tra User đã đăng nhập, insert dữ liệu rating vào bảng reviews, cập nhật điểm TB sản phẩm",IS-44,Dev1,,Todo,0.5,,,,
46,Module: Reviews,Admin,0%,Task,IS-46,UI Quản lý Đánh giá (Admin),"Bảng danh sách review mới nhất từ khách hàng",IS-42,Dev1,,Todo,0.25,,,,
47,Module: Reviews,Admin,0%,Task,IS-47,Logic Duyệt/Ẩn Đánh giá,"Tính năng toggle (bật/tắt) cho phép admin ẩn các bình luận rác/tiêu cực",IS-46,Dev1,,Todo,0.25,,,,
48,Module: Dashboard,Admin,0%,Task,IS-48,UI Dashboard,"Dựng bộ khung Dashboard chính, các thẻ KPI Card (Doanh thu, Đơn hàng, Khách mới)",IS-07,Dev1,,Todo,0.5,,,,
49,Module: Dashboard,Admin,0%,Task,IS-49,Logic Thống Kê KPI,"Viết SQL Query đếm tổng doanh thu tháng hiện tại, đếm số đơn mới, user mới, list SP sắp hết hàng",IS-48,Dev1,,Todo,1,,,,
50,Module: Dashboard,Admin,0%,Task,IS-50,Tích hợp Biểu đồ Doanh thu,"Sử dụng Group By Date xuất JSON data doanh thu 30 ngày, tích hợp Chart.js vẽ biểu đồ đường",IS-49,Dev1,,Todo,1,,,,
51,Non-Functional,Polish,0%,Task,IS-51,UI Responsive,"Viết CSS Media queries tối ưu hóa giao diện hiển thị mượt trên Mobile/Tablet",IS-22,Dev2,,Todo,1,,,,
52,Non-Functional,Polish,0%,Task,IS-52,Tối ưu Trải nghiệm (UX/UI),"Thêm CSS Transitions, Hover effects, tích hợp SweetAlert2 hiển thị thông báo popup thay cho alert mặc định",IS-51,Dev2,,Todo,0.5,,,,
53,Non-Functional,Security,0%,Task,IS-53,Bảo mật Hệ thống,"Kiểm tra lỗ hổng XSS (dùng htmlspecialchars), SQLi (chuẩn hóa PDO prepare bindParam), thêm CSRF token",IS-08,Dev1,,Todo,1,,,,
54,Non-Functional,Deploy,0%,Task,IS-54,Viết Tài Liệu & Clean code,"Format lại code chuẩn PSR-12, rà soát docblock, cập nhật README.md hướng dẫn setup và bàn giao",IS-01,Dev1,,Todo,0.5,,,,
55,Module: Blog & Articles,Database,0%,Task,IS-55,Bảng Posts,"Tạo bảng posts lưu tiêu đề, nội dung, ảnh bìa, status",IS-03,Dev2,,Todo,0.25,,,,
56,Module: Blog & Articles,Admin,0%,Task,IS-56,UI Quản lý Bài viết,"Bảng ds bài viết, nút Thêm/Sửa/Xóa trang Admin",IS-07,Dev2,,Todo,0.5,,,,
57,Module: Blog & Articles,Admin,0%,Task,IS-57,Logic Quản lý Bài viết,"CRUD bài viết, upload ảnh bìa, tích hợp Rich Text Editor",IS-56,Dev2,,Todo,1,,,,
58,Module: Blog & Articles,Client,0%,Task,IS-58,Trang Danh sách Tin tức,"Giao diện hiển thị các bài viết dạng lưới/danh sách",IS-22,Dev2,,Todo,0.5,,,,
59,Module: Blog & Articles,Client,0%,Task,IS-59,Trang Chi tiết Bài viết,"Giao diện hiển thị nội dung html của bài viết, bài viết liên quan",IS-58,Dev2,,Todo,0.5,,,,
